id,  First Name  , Last Name,email,age,salary,hire_date,is_active,department,score,notes,country,phone
2139,Zoe,White,zoe.white@example.com,49,140467.84,2017-12-07,Yes,Engineering,3.0,,Spain,
1584,Judy,Martin,judy.martin@example.com,57,113396.96,2017-10-14,true,Finance,4.3,On probation,Spain,+39 374-6586260
998,Laura,Clark,laura.clark@example.com,64,132967.72,2021-05-07,yes,Sales,2.6,On probation,,
2403,  Yara  , Martin ,not-an-email,58,118552.78,2016-11-12,no,IT,4.4,Remote worker,UK,N/A
518,  Pam  ,Clark,pam.clark@example.com,32,145870.78,2019-11-25,FALSE,Legal,8.4,n/a,France,N/A
1709,Tina,Wilson,tina.wilson@example.com,,74570.13,not-a-date,yes,Legal,2.2,Good performer,  ,N/A
2826,Wendy,Harris,,30,38275.24,2023-02-22,1,Engineering,2.3,Good performer,Spain,N/A
90141,Short,Row
384,Laura,Young,laura.young@example.com,65,145576.99,n/a,Yes,Finance,1.8,Senior engineer,Italy,+39 324-2877580
730,Tina,Moore,  tina@example.com ,37,88630.55,2020-04-08,true,Operations,5.6,  Needs improvement  ,,N/A
439,  Victor  ,Moore,victor.moore@example.com,50,46830.69,2024-03-14,TRUE,Sales,2.5,Good performer,USA,+39 322-5934928
1353,Alice,Young,,42,89378.18,2023-10-08,false,Finance,3.7,,Spain,N/A
1366,Bob, Anderson ,,54,71298.76,2016-01-06,TRUE,Sales,1.5,On probation,France,N/A
348,Alice,King,alice.king@example.com,28,140907.85,2020-08-27,No,Operations,7.3,Senior engineer,  ,
305,Eve,Walker,eve.walker@example.com,39,63026.05,2017-11-18,true,Marketing,6.4,,UK,N/A
1837,Dave,Lewis,dave.lewis@example.com,23,106809.33,2015-04-24,Yes,Engineering,5.4,,,+39 383-4420921
1008,Sam, Martin ,sam.martin@example.com,61,--,2020-03-17,No,Marketing,2.0,,Spain,
2208,Bob,King,bob.king@example.com,63,77786.06,2017-09-13,No,Engineering,3.0,On probation,Spain,+39 379-6901257
1479,Nina,Jones,nina.jones@example.com,22,76532.85,2017-07-08,TRUE,Operations,9.5,,  ,+39 386-4912074
2733,Uma,Jackson,uma.jackson@example.com,46,81931.84,2015-08-15,FALSE,Engineering,9.9,,Italy,N/A
1964,  Alice  ,Martin,alice.martin@example.com,,71795.76,2020-04-10,no,Operations,5.4,On probation,,
866,Uma, White ,uma.white@example.com,63,40081.7,2018-11-21,No,IT,9.7,Good performer,  ,
2441,Heidi,Young,heidi.young@example.com,63,71814.33,2018-02-19,Yes,Sales,7.2,,France,N/A
183,Alice, Martinez ,alice.martinez@example.com,30,107684.59,2021-09-28,true,HR,3.3,  ,Germany,N/A
,,,,,,,,,,,,
2809,  Mike  ,Walker,mike.walker@example.com,30,57158.92,2018-02-24,TRUE,Finance,1.5,On probation,  ,  
760,Frank,Moore,frank.moore@example.com,62,120409.65,TBD,FALSE,HR,8.5,Remote worker,Italy,+39 396-8245593
549,Tina, Brown ,tina.brown@example.com,49,125439.95,2021-05-10,FALSE,Finance,2.0,Good performer,  ,  
652,Frank,Thomas,frank.thomas@example.com,55,147738.53,2022-04-30,1,Legal,8.0,  ,France,N/A
2944,Marco,Walker,marco.walker@example.com,61,116979.65,2017-11-11,Yes,Legal,2.4,  Top talent  ,Spain,+39 327-2942006
1022,  Rita  ,Garcia,not-an-email,28,129803.65,2020-05-04,No,Operations,8.4,Remote worker,USA,N/A
90081,Extra,Row,x@x.com,30,50000,2020-01-01,yes,IT,8.0,note,IT,+39-000,EXTRA_FIELD,ANOTHER
962,Alice, Moore ,alice.moore@example.com,64,120119.53,2022/12/31,true,Engineering,9.8,  ,France,
